artist_id,catalog_id,db_id,loss_thru,artwork_title,location,date_lost,material,ek_inven_id,uri,art_form,envelope,work_status,db_title,date,copyright,inv_orig,env_part,thumb_url,museum_orig,artist,lat,lng
1,NA,109591,Beschlagnahme,Männerkopf (Männliches Bildnis),"Erfurt, Angermuseum",NA,Lithographie,1782,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=109591&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Männerkopf,o. J.,NA,I 330,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarVBokyTNkZfH5qlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Abbo, Jussuf",50.9760093689,11.0343103409
1,NA,109592,Beschlagnahme,Liegende Frau,"Erfurt, Angermuseum",NA,Lithographie,1783,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=109592&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Liegende Frau,o. J.,NA,I 331,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarXgVuuB4IqsbpqlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Abbo, Jussuf",50.9760093689,11.0343103409
1,NA,109593,Beschlagnahme,Zwei Köpfe,"Erfurt, Angermuseum",NA,Lithographie,1784,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=109593&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Zwei Köpfe,o. J.,NA,I 329,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarWVzl9gINMZZpqlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Abbo, Jussuf",50.9760093689,11.0343103409
1,NA,109596,Beschlagnahme,Komposition,"Rostock, Kulturhistorisches Museum",NA,Lithographie,6427,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=109596&viewType=detailView,Druckgraphik,NA,"Rostock, Kulturhistorisches Museum",Komposition,o. J.,NA,2197,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarWFPn3%2FluvlnpqlPqbqrNmy&sp=Simage%2Fjpeg,"Mannheim, Städtische Kunsthalle","Abbo, Jussuf",54.0873985291,12.1329498291
102,NA,112044,Beschlagnahme,Regen,"Rostock, Kulturhistorisches Museum",NA,Lithographie,15619,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=112044&viewType=detailView,Druckgraphik,NA,"Rostock, Kulturhistorisches Museum",Schreitende,1922,© Renata Davringhausen c/o Leopold-Hoesch-Museum Düren,NA,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarWhqupXfGpZtZqlPqbqrNmy&sp=Simage%2Fjpeg,"München, Staatliche Graphische Sammlung","Davringhausen, Heinrich Maria",54.0873985291,12.1329498291
102,NA,112045,Beschlagnahme,Im Kanu,"Rostock, Kulturhistorisches Museum",NA,Lithographie,15620,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=112045&viewType=detailView,Druckgraphik,NA,"Rostock, Kulturhistorisches Museum",Im Kanu,1922,© Renata Davringhausen c/o Leopold-Hoesch-Museum Düren,NA,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUoC8sJAGGq%2BJqlPqbqrNmy&sp=Simage%2Fjpeg,"München, Staatliche Graphische Sammlung","Davringhausen, Heinrich Maria",54.0873985291,12.1329498291
102,NA,112048,Beschlagnahme,Tanz des Irren,"Rostock, Kulturhistorisches Museum",NA,Lithographie,15623,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=112048&viewType=detailView,Druckgraphik,NA,"Rostock, Kulturhistorisches Museum",Tanzender,1922,© Renata Davringhausen c/o Leopold-Hoesch-Museum Düren,NA,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarVaAGf9qCWwFZqlPqbqrNmy&sp=Simage%2Fjpeg,"München, Staatliche Graphische Sammlung","Davringhausen, Heinrich Maria",54.0873985291,12.1329498291
105,NA,112080,Beschlagnahme,"Stilleben, Brot und Früchte","Washington, National Gallery of Art",NA,Öl auf Leinwand,3716,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=112080&viewType=detailView,Gemälde,NA,"Washington, National Gallery of Art",Stilleben,NA,"© VG Bild-Kunst, Bonn",NA,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarXQNx5LbvhZ0JqlPqbqrNmy&sp=Simage%2Fjpeg,"Essen, Museum Folkwang","Derain, André",38.8920707703,-77.0199890137
107,NA,112094,Beschlagnahme,"Abstrakte Komposition, Blatt 4 der 3. Mappe ""Neue europäische Graphik. Deutsche Künstler""","Erfurt, Angermuseum",NA,Holzschnitt,1919-09,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=112094&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Bauhausmappe IV,1919,© Nachlass Walter Dexel,I 470 B,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUSGdi62N7HXJqlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Dexel, Walter",50.9760093689,11.0343103409
113,NA,112234,Beschlagnahme,Juwelier Karl Krall,"Wien, Albertina",NA,Aquarell,12268,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=112234&viewType=detailView,Aquarell,NA,"Wien, Albertina",Bildnis,1923,"© VG Bild-Kunst, Bonn",F III 731 (Nr. 4),NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUM%2FMq58n0nT5qlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Nationalgalerie (Kronprinzen-Palais)","Dix, Otto",48.2040786743,16.369140625
